region,2018_fa30,2018_acf30,2018_fa40,2018_acf40,2018_fa50,2018_acf50,2018_fa60,2018_acf60,2018_fa70,2018_acf70,2019_fa30,2019_acf30,2019_fa40,2019_acf40,2019_fa50,2019_acf50,2019_fa60,2019_acf60,2019_fa70,2019_acf70,2020_fa30,2020_acf30,2020_fa40,2020_acf40,2020_fa50,2020_acf50,2020_fa60,2020_acf60,2020_fa70,2020_acf70,1st_crop,2nd_crop,3rd_crop
Busan,0,5,6,0,7,0,6,0,0,0,4,0,0,0,7,0,4,0,0,0,7,17,6,0,14,4,6,0,0,6,vegetable,fruit tree,legumes
Daegu,10,34,11,10,21,5,13,4,4,0,14,39,13,4,22,11,21,5,6,0,11,22,6,0,18,5,19,8,4,0,vegetable,fruit tree,special purpose crop
Incheon,6,25,19,7,56,14,44,15,9,6,9,16,14,4,56,11,54,15,13,0,13,15,15,5,39,10,44,13,11,4,vegetable,legumes,paddy_rice
Ulsan,12,23,8,5,37,7,22,6,6,0,6,5,4,0,22,4,28,0,7,0,6,14,15,0,29,11,23,0,5,0,vegetable,paddy_rice,fruit tree
Sejong,10,17,14,0,31,8,27,0,6,0,7,11,14,0,26,10,22,6,0,0,12,16,14,4,24,5,17,0,4,0,paddy_rice,fruit tree,vegetable
Gyeonggi,146,287,151,47,359,104,266,73,65,36,117,190,146,36,381,91,280,49,75,38,165,388,155,46,394,119,340,88,64,34,vegetable,special purpose crop,legumes
Gangwon,96,215,155,42,448,108,297,87,59,29,88,184,135,39,380,89,294,64,51,35,78,171,122,32,349,81,331,69,67,24,vegetable,special purpose crop,barley
Chungcheongbuk,64,177,129,30,392,114,285,73,55,22,81,166,109,28,352,94,268,53,37,22,97,148,108,36,332,83,341,77,60,38,vegetable,fruit tree,special purpose crop
Chungcheongnam,156,267,198,56,478,132,403,99,93,39,128,193,177,38,468,121,401,87,94,32,162,235,195,41,504,129,527,121,114,24,vegetable,paddy_rice,special purpose crop
Jeollabuk,178,418,263,87,472,125,338,84,84,31,160,259,260,57,439,119,375,68,93,23,201,239,240,52,523,97,453,75,94,20,paddy_rice,vegetable,special purpose crop
Jeollanam,252,494,390,99,738,161,547,121,112,49,244,394,327,63,709,158,589,106,151,43,268,380,382,72,809,129,706,124,193,45,vegetable,paddy_rice,fruit tree
Gyeongsangbuk,242,451,345,109,833,255,637,127,139,67,205,390,317,81,858,226,646,131,130,52,187,380,292,88,839,204,751,150,183,61,fruit tree,vegetable,paddy_rice
Gyeongsangnam,148,363,256,78,538,169,461,92,115,37,118,301,173,51,485,140,456,103,91,27,128,229,164,30,455,112,490,100,112,26,vegetable,fruit tree,paddy_rice
Jeju,42,92,83,9,92,24,57,11,7,5,31,52,63,10,86,12,52,6,6,0,35,75,77,9,73,12,36,8,10,0,fruit tree,vegetable,barley
