code,location,count
26,부산광역시,65
26710,기장군,65
27,대구광역시,97
27710,달성군,97
28,인천광역시,169
28710,강화군,149
28720,옹진군,20
31,울산광역시,109
31710,울주군,109
36,세종특별자치시,99
36110,세종시,99
41,경기도,1793
41220,평택시,154
41360,남양주시,103
41460,용인시,131
41480,파주시,94
41500,이천시,109
41550,안성시,128
41570,김포시,126
41590,화성시,192
41610,광주시,90
41630,양주시,51
41650,포천시,95
41660,여주시,127
41800,연천군,46
41820,가평군,69
41830,양평군,278
42,강원도,1324
42110,춘천시,93
42130,원주시,147
42150,강릉시,84
42230,삼척시,44
42720,홍천군,171
42730,횡성군,157
42750,영월군,79
42760,평창군,121
42770,정선군,108
42780,철원군,40
42790,화천군,70
42800,양구군,47
42810,인제군,52
42820,고성군,46
42830,양양군,65
43,충청북도,1320
43110,청주시,149
43130,충주시,139
43150,제천시,70
43720,보은군,101
43730,옥천군,177
43740,영동군,181
43745,증평군,21
43750,진천군,80
43760,괴산군,192
43770,음성군,129
43800,단양군,81
44,충청남도,2052
44130,천안시,106
44150,공주시,120
44180,보령시,131
44200,아산시,142
44210,서산시,159
44230,논산시,206
44250,계룡시,24
44270,당진시,161
44710,금산군,173
44760,부여군,182
44770,서천군,94
44790,청양군,129
44800,홍성군,111
44810,예산군,121
44825,태안군,193
45,전라북도,1994
45130,군산시,67
45140,익산시,183
45180,정읍시,199
45190,남원시,194
45210,김제시,195
45710,완주군,192
45720,진안군,116
45730,무주군,114
45740,장수군,86
45750,임실군,188
45770,순창군,118
45790,고창군,171
45800,부안군,171
46,전라남도,3108
46130,여수시,82
46150,순천시,190
46170,나주시,202
46230,광양시,66
46710,담양군,178
46720,곡성군,112
46730,구례군,74
46770,고흥군,249
46780,보성군,164
46790,화순군,202
46800,장흥군,125
46810,강진군,137
46820,해남군,186
46830,영암군,170
46840,무안군,244
46860,함평군,144
46870,영광군,135
46880,장성군,150
46890,완도군,72
46900,진도군,98
46910,신안군,128
47,경상북도,3135
47110,포항시,126
47130,경주시,152
47150,김천시,238
47170,안동시,220
47190,구미시,92
47210,영주시,120
47230,영천시,189
47250,상주시,268
47280,문경시,152
47290,경산시,97
47720,군위군,104
47730,의성군,277
47750,청송군,143
47760,영양군,83
47770,영덕군,65
47820,청도군,147
47830,고령군,50
47840,성주군,142
47850,칠곡군,62
47900,예천군,215
47920,봉화군,139
47930,울진군,52
47940,울릉군,X
48,경상남도,1846
48120,창원시,73
48170,진주시,124
48220,통영시,32
48240,사천시,61
48250,김해시,70
48270,밀양시,157
48310,거제시,31
48330,양산시,37
48720,의령군,100
48730,함안군,63
48740,창녕군,168
48820,고성군,87
48840,남해군,72
48850,하동군,155
48860,산청군,176
48870,함양군,138
48880,거창군,111
48890,합천군,191
50,제주특별자치도,336
50110,제주시,184
50130,서귀포시,152
